1 Q-E,2 ZN-E,3 PH-E,4 DBO-E,5 DQO-E,6 SS-E,7 SSV-E,8 SED-E,9 COND-E,10 PH-P,11 DBO-P,12 SS-P,13 SSV-P,14 SED-P,15 COND-P,16 PH-D,17 DBO-D,18 DQO-D,19 SS-D,20 SSV-D,21 SED-D,22 COND-D,23 PH-S,24 DBO-S,25 DQO-S,26 SS-S,27 SSV-S,28 SED-S,29 COND-S,30 RD-DBO-P,31 RD-SS-P,32 RD-SED-P,33 RD-DBO-S,34 RD-DQO-S,35 RD-DBO-G,36 RD-DQO-G,37 RD-SS-G,38 RD-SED-G,D-1/3/90
0.00 ,6.3,7.70 ,146,375,244.00 ,57.40 ,4.00 ,1413.00 ,7.80 ,158,280.00 ,55.70 ,6.50 ,1486.00 ,7.70 ,116,282.00 ,96.00 ,81.30 ,0.70 ,1449.00 ,7.60 ,23,112.00 ,32.00 ,82.50 ,0.01 ,1410.00 ,26.6,65.70 ,89.20 ,80.2,60.3,84.2,70.1,86.90 ,99.80 ,D-12/7/91
43563.00 ,1,7.80 ,95,206,132.00 ,43.90 ,1.50 ,828.00 ,7.80 ,74,112.00 ,57.10 ,1.20 ,856.00 ,7.90 ,47,158.00 ,62.00 ,64.50 ,0.10 ,85.00 ,7.90 ,21,99.00 ,39.00 ,66.70 ,0.05 ,891.00 ,36.5,44.60 ,91.70 ,55.3,37.3,77.9,51.9,70.50 ,96.70 ,D-12/8/90
17527.00 ,0.55,7.50 ,150,171,172.00 ,37.20 ,1.40 ,732.00 ,7.50 ,113,220.00 ,38.20 ,1.00 ,731.00 ,7.50 ,42,113.00 ,49.00 ,67.40 ,0.10 ,691.00 ,7.60 ,11,39.00 ,16.00 ,85.00 ,0.02 ,728.00 ,62.8,77.70 ,90.00 ,73.8,65.5,92.7,77.2,90.70 ,98.60 ,D-12/8/91
37862.00 ,5,7.60 ,146,243,164.00 ,57.30 ,3.20 ,1095.00 ,7.60 ,193,208.00 ,55.80 ,3.00 ,1089.00 ,7.60 ,68,165.00 ,86.00 ,76.70 ,0.30 ,1095.00 ,7.70 ,6,59.00 ,14.00 ,82.90 ,0.00 ,1095.00 ,64.8,58.70 ,91.70 ,91.2,64.2,95.9,75.7,91.50 ,100.00 ,D-12/9/90
45183.00 ,0.4,7.80 ,205,347,142.00 ,67.60 ,0.00 ,1373.00 ,7.70 ,339,148.00 ,68.90 ,0.00 ,1312.00 ,7.80 ,101,219.00 ,72.00 ,81.90 ,0.00 ,1409.00 ,7.70 ,19,100.00 ,19.00 ,85.10 ,0.00 ,1473.00 ,70.2,51.40 ,0.00 ,81.2,54.3,90.7,71.2,86.60 ,68.20 ,D-13/1/91
34823.00 ,0.27,7.90 ,170,332,226.00 ,64.60 ,5.40 ,1219.00 ,7.90 ,163,272.00 ,58.80 ,5.50 ,1223.00 ,7.90 ,94,192.00 ,78.00 ,76.90 ,0.20 ,1134.00 ,7.80 ,21,24.00 ,18.00 ,83.30 ,0.02 ,1105.00 ,42.3,71.30 ,96.40 ,77.7,87.5,87.6,92.8,92.00 ,99.60 ,D-13/10/91
45729.00 ,4.5,8.20 ,139,263,144.00 ,61.10 ,1.50 ,1665.00 ,8.30 ,159,204.00 ,50.90 ,2.50 ,1717.00 ,8.00 ,85,208.00 ,80.00 ,82.50 ,0.20 ,1807.00 ,7.80 ,9,51.00 ,10.00 ,90.00 ,0.01 ,1698.00 ,46.5,60.80 ,92.00 ,89.4,75.5,93.5,80.6,93.10 ,99.30 ,D-13/11/90
31849.00 ,5.45,8.00 ,330,511,184.00 ,79.30 ,4.00 ,2110.00 ,8.00 ,372,212.00 ,74.50 ,5.00 ,2100.00 ,8.10 ,204,396.00 ,128.00 ,78.10 ,1.00 ,2050.00 ,7.70 ,34,119.00 ,33.00 ,80.80 ,0.01 ,2270.00 ,45.2,39.60 ,80.00 ,83.3,69.9,89.7,76.7,82.10 ,99.80 ,D-13/12/90
37724.00 ,1,7.90 ,0.00 ,526,206.00 ,70.90 ,5.50 ,1422.00 ,7.90 ,0.00 ,218.00 ,71.60 ,6.00 ,1461.00 ,7.80 ,175,382.00 ,108.00 ,81.50 ,0.20 ,1595.00 ,7.50 ,34,128.00 ,40.00 ,84.20 ,0.02 ,1342.00 ,0.00 ,50.50 ,96.70 ,80.6,66.5,0.00 ,75.7,80.60 ,99.60 ,D-13/2/90
32736.00 ,5.3,8.20 ,257,629,312.00 ,71.80 ,7.50 ,1823.00 ,8.20 ,259,264.00 ,72.00 ,6.30 ,1767.00 ,8.20 ,199,374.00 ,104.00 ,78.80 ,0.60 ,1871.00 ,7.80 ,28,108.00 ,22.00 ,90.90 ,0.02 ,1850.00 ,23.2,60.60 ,90.40 ,85.9,71.1,89.1,82.8,92.90 ,99.70 ,D-13/2/91
39246.00 ,2,7.80 ,172,506,200.00 ,69.00 ,5.00 ,1865.00 ,7.80 ,208,248.00 ,66.10 ,6.50 ,1929.00 ,7.80 ,164,463.00 ,100.00 ,78.00 ,0.60 ,1825.00 ,7.60 ,19,157.00 ,27.00 ,87.00 ,0.02 ,1616.00 ,21.2,59.70 ,90.80 ,88.4,66.1,89,69,86.50 ,99.60 ,D-13/3/90
33988.00 ,2.5,7.80 ,161,391,148.00 ,73.00 ,4.50 ,1551.00 ,7.90 ,183,170.00 ,69.40 ,4.00 ,1505.00 ,7.90 ,151,313.00 ,86.00 ,86.00 ,0.90 ,1512.00 ,7.80 ,19,94.00 ,14.00 ,97.20 ,0.02 ,1439.00 ,17.5,49.40 ,77.50 ,87.4,70,88.2,76,90.50 ,99.60 ,D-13/3/91
43536.00 ,2.5,7.80 ,267,342,202.00 ,58.40 ,2.00 ,1327.00 ,7.70 ,254,172.00 ,69.80 ,2.00 ,1306.00 ,7.80 ,130,349.00 ,120.00 ,66.70 ,0.40 ,1450.00 ,7.70 ,12,77.00 ,16.00 ,87.50 ,0.00 ,1454.00 ,48.8,30.20 ,80.00 ,90.8,77.9,95.5,77.5,92.10 ,68.20 ,D-13/4/90
41436.00 ,1.2,7.90 ,191,356,192.00 ,62.50 ,7.00 ,1434.00 ,7.90 ,226,288.00 ,55.60 ,10.00 ,1427.00 ,7.70 ,130,257.00 ,84.00 ,71.40 ,0.10 ,1467.00 ,7.60 ,28,103.00 ,34.00 ,76.50 ,0.00 ,1469.00 ,42.5,70.80 ,99.00 ,78.5,59.9,85.3,71.1,82.30 ,100.00 ,D-13/5/90
59184.00 ,0.6,7.50 ,94,189,120.00 ,56.70 ,1.50 ,1200.00 ,7.50 ,122,144.00 ,51.40 ,1.30 ,1206.00 ,7.60 ,71,203.00 ,54.00 ,66.70 ,0.20 ,1260.00 ,7.50 ,13,33.00 ,10.00 ,68.00 ,0.00 ,1353.00 ,41.8,62.50 ,84.00 ,81.7,83.7,86.2,82.5,91.70 ,100.00 ,D-13/5/91
43308.00 ,1.4,7.90 ,265,330,562.00 ,27.40 ,7.50 ,1866.00 ,7.90 ,242,680.00 ,30.00 ,12.50 ,1858.00 ,7.90 ,133,206.00 ,120.00 ,48.30 ,0.60 ,1850.00 ,7.80 ,24,70.00 ,11.00 ,61.80 ,0.02 ,1800.00 ,45,82.40 ,95.20 ,82,66,90.9,78.8,98.00 ,99.70 ,D-13/6/90
32100.00 ,1.5,7.50 ,277,523,324.00 ,67.90 ,7.00 ,1817.00 ,7.60 ,315,348.00 ,56.30 ,9.00 ,1816.00 ,7.80 ,154,297.00 ,84.00 ,66.70 ,0.20 ,1829.00 ,7.70 ,21,53.00 ,19.00 ,77.90 ,0.00 ,1819.00 ,51.1,75.90 ,98.30 ,86.4,82.2,92.4,89.9,94.10 ,100.00 ,D-13/6/91
33522.00 ,2.5,7.70 ,189,416,248.00 ,58.10 ,5.50 ,1330.00 ,7.70 ,194,252.00 ,63.50 ,4.50 ,1931.00 ,7.80 ,114,304.00 ,104.00 ,71.20 ,0.20 ,1426.00 ,7.80 ,27,108.00 ,26.00 ,76.90 ,0.00 ,1416.00 ,41.2,58.70 ,95.60 ,76.3,64.5,85.7,74,89.50 ,100.00 ,D-13/7/90
47718.00 ,0.7,7.80 ,31,81,208.00 ,20.20 ,0.80 ,715.00 ,7.80 ,32,246.00 ,25.20 ,1.50 ,714.00 ,7.80 ,0.00 ,80.00 ,233.00 ,20.20 ,0.70 ,712.00 ,7.90 ,3,25.00 ,12.00 ,73.30 ,0.00 ,831.00 ,0.00 ,5.30 ,53.30 ,0.00 ,68.8,90.3,69.1,94.20 ,100.00 ,D-13/8/90
33331.00 ,0.23,7.60 ,92,233,234.00 ,37.60 ,1.40 ,829.00 ,7.60 ,103,172.00 ,57.00 ,1.50 ,852.00 ,7.60 ,65,167.00 ,97.00 ,58.80 ,0.20 ,879.00 ,7.70 ,8,47.00 ,18.00 ,77.80 ,0.01 ,929.00 ,36.9,43.60 ,86.70 ,87.7,71.9,91.3,79.8,92.30 ,99.30 ,D-13/8/91
35809.00 ,5,7.80 ,139,380,256.00 ,53.10 ,5.50 ,2040.00 ,7.80 ,201,340.00 ,47.60 ,8.50 ,2000.00 ,7.90 ,131,278.00 ,104.00 ,73.10 ,0.20 ,1950.00 ,7.90 ,11,51.00 ,8.00 ,57.50 ,0.02 ,1690.00 ,34.8,69.40 ,97.60 ,91.6,81.7,92.1,86.6,96.90 ,99.60 ,D-13/9/90
32127.00 ,17,7.70 ,0.00 ,526,292.00 ,63.70 ,7.50 ,2240.00 ,7.60 ,244,344.00 ,62.80 ,9.00 ,2220.00 ,7.70 ,193,450.00 ,134.00 ,70.10 ,1.30 ,2450.00 ,7.50 ,28,92.00 ,36.00 ,80.60 ,0.01 ,2580.00 ,20.9,61.00 ,85.60 ,85.5,79.6,0.00 ,82.5,87.70 ,99.90 ,D-14/1/90
27415.00 ,0.9,7.70 ,241,332,158.00 ,65.80 ,4.00 ,1133.00 ,7.80 ,182,194.00 ,67.00 ,3.30 ,1148.00 ,7.90 ,118,256.00 ,90.00 ,80.00 ,0.30 ,1190.00 ,7.70 ,12,156.00 ,11.00 ,70.90 ,0.05 ,1236.00 ,35.2,53.60 ,90.80 ,89.8,39.1,95,53,93.00 ,99.00 ,D-14/1/91
39343.00 ,4.8,8.00 ,140,555,282.00 ,45.40 ,6.50 ,850.00 ,8.00 ,134,208.00 ,48.10 ,3.50 ,890.00 ,7.90 ,44,160.00 ,76.00 ,60.50 ,0.20 ,906.00 ,7.80 ,7,75.00 ,10.00 ,72.00 ,0.02 ,882.00 ,67.2,63.50 ,94.30 ,84.1,53.1,95,86.5,96.50 ,99.70 ,D-14/10/90
49314.00 ,2.3,8.10 ,166,318,118.00 ,55.90 ,2.50 ,1820.00 ,8.00 ,198,134.00 ,62.70 ,2.00 ,1779.00 ,8.10 ,95,213.00 ,60.00 ,70.00 ,0.20 ,1768.00 ,7.90 ,15,74.00 ,12.00 ,76.70 ,0.01 ,1810.00 ,52,55.20 ,90.00 ,84.2,65.3,91,76.7,89.80 ,99.60 ,D-14/11/90
30352.00 ,5.9,8.20 ,324,539,196.00 ,77.60 ,4.50 ,2090.00 ,8.20 ,282,190.00 ,72.60 ,4.50 ,2180.00 ,8.10 ,203,396.00 ,110.00 ,85.50 ,1.00 ,2130.00 ,7.80 ,21,89.00 ,19.00 ,89.50 ,0.01 ,2210.00 ,28,42.10 ,77.80 ,89.7,77.5,93.5,83.5,90.30 ,99.80 ,D-14/12/90
36446.00 ,1,7.70 ,0.00 ,710,366.00 ,55.70 ,6.50 ,2400.00 ,7.80 ,0.00 ,256.00 ,62.50 ,6.00 ,2450.00 ,7.80 ,192,450.00 ,120.00 ,66.70 ,0.50 ,2330.00 ,7.60 ,0.00 ,295.00 ,88.00 ,76.10 ,0.25 ,2390.00 ,0.00 ,53.10 ,92.50 ,0.00 ,34.4,0.00 ,58.5,76.00 ,96.20 ,D-14/2/90
34441.00 ,8.2,8.10 ,199,486,240.00 ,68.30 ,9.00 ,1605.00 ,8.10 ,259,352.00 ,68.20 ,13.20 ,1684.00 ,8.10 ,168,394.00 ,116.00 ,75.90 ,0.40 ,1679.00 ,7.70 ,31,147.00 ,28.00 ,85.70 ,0.03 ,1770.00 ,35.1,67.00 ,97.00 ,81.5,62.7,84.4,69.8,88.30 ,100.00 ,D-14/2/91
42393.00 ,0.7,7.90 ,189,478,230.00 ,67.00 ,5.50 ,1410.00 ,8.10 ,173,192.00 ,62.50 ,5.00 ,1406.00 ,7.70 ,172,412.00 ,104.00 ,71.20 ,0.40 ,1562.00 ,7.60 ,152,306.00 ,131.00 ,79.60 ,3.50 ,1575.00 ,0.6,45.80 ,92.00 ,11.6,25.7,19.6,36,43.00 ,36.40 ,D-14/3/90
36479.00 ,3.8,8.10 ,192,422,176.00 ,68.20 ,4.50 ,2080.00 ,8.00 ,202,220.00 ,63.60 ,5.70 ,2100.00 ,7.90 ,132,367.00 ,118.00 ,79.70 ,1.20 ,2140.00 ,7.80 ,20,152.00 ,16.00 ,87.50 ,0.00 ,2290.00 ,34.7,46.40 ,78.90 ,84.8,58.6,89.6,64,90.90 ,100.00 ,D-14/3/91
28923.00 ,0.7,7.20 ,133,467,186.00 ,65.60 ,0.00 ,1398.00 ,7.40 ,141,216.00 ,64.80 ,0.00 ,1425.00 ,7.50 ,130,393.00 ,76.00 ,84.20 ,0.00 ,1586.00 ,7.50 ,20,147.00 ,31.00 ,83.90 ,0.00 ,1543.00 ,7.8,64.80 ,0.00 ,84.6,62.6,85,68.5,83.30 ,68.20 ,D-14/4/91
39402.00 ,1.2,7.90 ,283,274,162.00 ,59.30 ,3.00 ,937.00 ,7.90 ,190,178.00 ,58.40 ,2.80 ,944.00 ,7.80 ,117,212.00 ,78.00 ,76.90 ,0.10 ,970.00 ,7.70 ,28,74.00 ,25.00 ,88.00 ,0.00 ,1060.00 ,38.4,56.20 ,98.20 ,76.1,65.1,90.1,73,84.60 ,100.00 ,D-14/5/90
47489.00 ,0.23,7.60 ,135,297,164.00 ,57.30 ,2.50 ,1000.00 ,7.70 ,175,196.00 ,53.10 ,2.50 ,1040.00 ,7.80 ,99,250.00 ,98.00 ,59.20 ,0.50 ,968.00 ,7.70 ,20,43.00 ,18.00 ,83.30 ,0.02 ,906.00 ,43.4,50.00 ,80.00 ,79.8,82.8,85.2,85.5,89.00 ,99.20 ,D-14/5/91
37615.00 ,1.2,7.80 ,199,404,232.00 ,53.40 ,5.00 ,1310.00 ,7.80 ,416,544.00 ,43.40 ,11.00 ,1366.00 ,7.70 ,143,299.00 ,114.00 ,61.40 ,0.40 ,1466.00 ,7.60 ,25,85.00 ,19.00 ,65.30 ,0.00 ,1404.00 ,65.6,79.00 ,96.40 ,82.5,71.6,87.4,79,91.80 ,100.00 ,D-14/6/90
32538.00 ,1,7.60 ,219,511,286.00 ,58.00 ,6.50 ,1326.00 ,7.80 ,243,382.00 ,56.50 ,7.00 ,1420.00 ,7.80 ,142,323.00 ,106.00 ,71.70 ,0.20 ,1359.00 ,7.70 ,22,98.00 ,21.00 ,74.30 ,0.02 ,1361.00 ,41.6,72.30 ,97.10 ,84.5,69.7,90,80.8,92.70 ,99.70 ,D-14/6/91
0.00 ,2.6,7.80 ,198,604,288.00 ,58.30 ,4.70 ,1235.00 ,7.80 ,229,222.00 ,60.40 ,4.50 ,1330.00 ,7.70 ,144,391.00 ,104.00 ,73.10 ,0.90 ,1320.00 ,7.70 ,31,159.00 ,41.00 ,82.90 ,0.02 ,1399.00 ,37.1,53.20 ,80.00 ,78.5,59.3,84.3,73.7,85.80 ,99.60 ,D-14/7/91
27998.00 ,0.62,7.50 ,138,268,154.00 ,66.20 ,1.70 ,890.00 ,7.50 ,105,166.00 ,64.00 ,1.50 ,880.00 ,7.70 ,65,157.00 ,97.00 ,64.90 ,0.20 ,827.00 ,7.80 ,8,33.00 ,13.00 ,84.60 ,0.02 ,858.00 ,38.1,41.60 ,86.70 ,87.7,79,94.2,87.7,91.60 ,98.80 ,D-14/8/91
35729.00 ,2.5,7.90 ,205,529,264.00 ,61.40 ,6.50 ,2750.00 ,7.90 ,220,324.00 ,60.50 ,6.00 ,2850.00 ,7.80 ,111,325.00 ,90.00 ,73.30 ,0.30 ,2550.00 ,7.80 ,11,0.00 ,9.00 ,62.20 ,0.00 ,2500.00 ,49.5,72.20 ,95.00 ,90.1,0.00 ,94.6,0.00 ,96.60 ,100.00 ,D-14/9/90
31059.00 ,3.5,7.80 ,202,431,200.00 ,74.00 ,5.00 ,1302.00 ,7.70 ,199,184.00 ,78.30 ,4.70 ,1307.00 ,7.60 ,124,269.00 ,96.00 ,75.00 ,0.40 ,1334.00 ,7.40 ,17,63.00 ,20.00 ,85.00 ,0.05 ,1473.00 ,37.7,47.80 ,91.50 ,86.3,76.6,91.6,85.4,90.00 ,99.00 ,D-15/1/90
42614.00 ,0.35,8.30 ,113,347,120.00 ,71.70 ,2.50 ,1385.00 ,8.20 ,106,134.00 ,74.60 ,2.50 ,1377.00 ,8.10 ,98,279.00 ,68.00 ,88.20 ,0.40 ,1380.00 ,7.80 ,7,84.00 ,11.00 ,90.90 ,0.01 ,1355.00 ,7.5,49.30 ,84.00 ,92.9,69.9,93.8,75.8,90.80 ,100.00 ,D-15/1/91
34347.00 ,0.8,7.90 ,155,243,210.00 ,47.60 ,2.50 ,848.00 ,7.90 ,170,138.00 ,52.20 ,1.50 ,858.00 ,8.00 ,89,133.00 ,74.00 ,75.70 ,0.30 ,902.00 ,8.00 ,9,35.00 ,12.00 ,58.30 ,0.02 ,898.00 ,47.6,46.40 ,83.30 ,89.9,73.7,94.2,85.6,94.30 ,99.20 ,D-15/10/90
34018.00 ,0.88,7.60 ,153,464,274.00 ,55.50 ,5.50 ,1149.00 ,7.70 ,142,284.00 ,53.50 ,6.00 ,1165.00 ,7.70 ,82,228.00 ,74.00 ,75.70 ,0.20 ,1157.00 ,7.70 ,21,92.00 ,18.00 ,82.20 ,0.10 ,1180.00 ,42.3,73.90 ,96.70 ,74.4,59.6,86.3,80.2,93.40 ,98.20 ,D-15/10/91
44038.00 ,0.43,8.00 ,138,304,136.00 ,66.20 ,2.50 ,2050.00 ,8.10 ,144,168.00 ,60.70 ,3.00 ,2000.00 ,8.20 ,107,243.00 ,68.00 ,88.20 ,0.20 ,1852.00 ,7.80 ,17,106.00 ,20.00 ,85.00 ,0.01 ,1854.00 ,25.7,59.50 ,93.30 ,84.1,56.4,87.7,65.1,85.30 ,99.60 ,D-15/11/90
35636.00 ,1.2,8.00 ,203,469,264.00 ,65.20 ,5.20 ,1489.00 ,8.10 ,0.00 ,304.00 ,65.80 ,8.50 ,1690.00 ,7.90 ,155,361.00 ,100.00 ,80.00 ,0.40 ,1718.00 ,7.50 ,23,97.00 ,38.00 ,88.40 ,0.05 ,1716.00 ,0.00 ,67.10 ,95.30 ,85.2,73.1,88.7,79.3,85.60 ,99.00 ,D-15/2/90
32888.00 ,6.25,8.10 ,185,401,156.00 ,79.50 ,4.00 ,1513.00 ,8.20 ,170,224.00 ,73.20 ,5.50 ,1593.00 ,8.10 ,149,296.00 ,86.00 ,90.70 ,0.40 ,1653.00 ,7.80 ,24,97.00 ,22.00 ,90.90 ,0.01 ,1682.00 ,12.4,61.60 ,92.70 ,83.9,67.2,87,75.8,85.90 ,100.00 ,D-15/2/91
42857.00 ,1.5,7.70 ,238,319,292.00 ,33.80 ,3.50 ,1261.00 ,7.60 ,170,268.00 ,31.30 ,4.20 ,1204.00 ,7.60 ,116,276.00 ,104.00 ,51.90 ,0.30 ,1261.00 ,7.40 ,320,350.00 ,238.00 ,73.90 ,2.00 ,1304.00 ,31.8,61.20 ,92.90 ,0.00 ,0.00 ,0.00 ,0.00 ,18.50 ,42.90 ,D-15/3/90
31592.00 ,4.7,8.00 ,217,549,248.00 ,67.70 ,7.00 ,1370.00 ,8.10 ,255,224.00 ,67.90 ,5.00 ,1483.00 ,8.10 ,154,406.00 ,102.00 ,80.40 ,0.60 ,1410.00 ,7.80 ,15,74.00 ,13.00 ,86.20 ,0.00 ,1406.00 ,39.6,54.50 ,88.00 ,90.3,81.8,93.1,86.5,94.80 ,100.00 ,D-15/3/91
32317.00 ,0.7,7.50 ,166,393,242.00 ,55.40 ,5.30 ,958.00 ,7.70 ,206,256.00 ,54.70 ,5.50 ,982.00 ,7.70 ,135,260.00 ,96.00 ,79.20 ,0.40 ,1038.00 ,7.60 ,13,27.00 ,10.00 ,90.00 ,0.00 ,1082.00 ,34.5,62.50 ,93.60 ,90.4,89.6,92.2,93.1,95.90 ,100.00 ,D-15/4/91
39383.00 ,0.6,8.00 ,216,529,248.00 ,61.30 ,6.30 ,1179.00 ,8.00 ,429,220.00 ,65.50 ,5.00 ,1294.00 ,7.80 ,140,337.00 ,138.00 ,63.80 ,1.50 ,1155.00 ,7.70 ,23,94.00 ,22.00 ,84.10 ,0.00 ,1107.00 ,67.4,37.30 ,70.00 ,83.6,72.1,89.4,82.2,91.10 ,100.00 ,D-15/5/90
35374.00 ,4.4,7.90 ,175,566,292.00 ,57.50 ,7.50 ,1268.00 ,8.00 ,196,406.00 ,49.80 ,9.20 ,1358.00 ,7.90 ,139,327.00 ,110.00 ,72.70 ,0.50 ,1385.00 ,7.80 ,20,80.00 ,16.00 ,87.50 ,0.05 ,1234.00 ,29.1,72.90 ,95.10 ,85.6,75.5,88.6,85.9,94.50 ,99.30 ,D-15/5/91
42596.00 ,3,7.70 ,138,259,456.00 ,22.80 ,4.00 ,1007.00 ,7.60 ,160,584.00 ,26.70 ,7.50 ,1039.00 ,7.60 ,101,176.00 ,126.00 ,47.60 ,0.50 ,1113.00 ,7.60 ,22,59.00 ,16.00 ,68.80 ,0.00 ,1194.00 ,36.9,78.40 ,93.30 ,78.2,66.5,84.1,77.2,96.50 ,100.00 ,D-15/6/90
33680.00 ,1.75,7.60 ,215,532,282.00 ,63.80 ,5.30 ,1444.00 ,7.60 ,253,296.00 ,61.50 ,5.00 ,1437.00 ,7.80 ,120,320.00 ,90.00 ,75.60 ,0.20 ,1418.00 ,7.80 ,17,92.00 ,15.00 ,75.30 ,0.00 ,1433.00 ,52.6,69.60 ,96.00 ,85.8,71.3,92.1,82.7,94.70 ,100.00 ,D-15/7/90
0.00 ,0.8,7.60 ,177,388,170.00 ,69.40 ,4.00 ,1147.00 ,7.70 ,166,198.00 ,66.70 ,3.00 ,1126.00 ,7.60 ,89,208.00 ,68.00 ,82.40 ,0.20 ,1105.00 ,7.70 ,14,74.00 ,16.00 ,87.50 ,0.00 ,1170.00 ,46.4,65.70 ,93.30 ,84.3,64.4,92.1,80.9,90.60 ,100.00 ,D-15/7/91
42587.00 ,2,7.80 ,77,256,248.00 ,30.60 ,2.50 ,910.00 ,7.90 ,71,270.00 ,28.90 ,3.00 ,931.00 ,7.90 ,26,120.00 ,71.00 ,45.10 ,0.30 ,917.00 ,8.00 ,7,62.00 ,9.00 ,93.30 ,0.00 ,919.00 ,63.4,73.70 ,90.00 ,73.1,48.3,90.9,75.8,96.40 ,100.00 ,D-15/8/90
36470.00 ,4.5,7.80 ,227,526,212.00 ,68.90 ,4.50 ,1542.00 ,7.80 ,232,240.00 ,75.00 ,5.50 ,1583.00 ,7.80 ,172,411.00 ,106.00 ,83.00 ,0.20 ,1607.00 ,7.40 ,30,99.00 ,41.00 ,85.40 ,0.05 ,1395.00 ,25.9,55.80 ,96.40 ,82.6,75.9,86.8,81.2,80.70 ,98.90 ,D-16/1/90
48914.00 ,0.35,8.10 ,203,434,128.00 ,70.30 ,4.00 ,1496.00 ,8.30 ,222,114.00 ,71.90 ,2.50 ,1533.00 ,8.20 ,134,271.00 ,84.00 ,71.40 ,1.00 ,1489.00 ,7.70 ,13,60.00 ,11.00 ,76.40 ,0.02 ,1520.00 ,39.6,26.30 ,60.00 ,90.3,77.9,93.6,86.2,91.40 ,100.00 ,D-16/1/91
53012.00 ,3.5,8.20 ,157,361,208.00 ,51.00 ,5.00 ,1015.00 ,8.20 ,197,188.00 ,53.20 ,4.00 ,931.00 ,8.10 ,93,204.00 ,86.00 ,60.50 ,0.30 ,1019.00 ,7.90 ,12,51.00 ,17.00 ,58.80 ,0.02 ,967.00 ,52.8,54.30 ,93.80 ,87.1,75,92.4,85.9,91.80 ,99.60 ,D-16/10/90
42876.00 ,0.17,7.80 ,133,349,310.00 ,47.70 ,6.50 ,875.00 ,7.80 ,128,356.00 ,41.00 ,6.00 ,870.00 ,7.80 ,67,172.00 ,64.00 ,78.10 ,0.20 ,887.00 ,7.80 ,16,55.00 ,19.00 ,77.90 ,0.03 ,976.00 ,47.7,82.00 ,97.50 ,76.1,68,88,84.2,93.90 ,99.60 ,D-16/10/91
29816.00 ,0.48,8.50 ,251,447,152.00 ,65.80 ,3.30 ,1770.00 ,8.40 ,312,204.00 ,62.70 ,3.80 ,2880.00 ,8.20 ,192,439.00 ,108.00 ,72.20 ,0.90 ,2490.00 ,7.90 ,26,158.00 ,30.00 ,82.70 ,0.01 ,2240.00 ,38.5,47.10 ,76.00 ,86.5,64,89.6,64.7,80.30 ,99.70 ,D-16/11/90
32009.00 ,2.87,8.10 ,288,459,216.00 ,73.20 ,0.00 ,1755.00 ,8.00 ,399,258.00 ,71.30 ,0.00 ,1690.00 ,7.90 ,183,364.00 ,104.00 ,76.90 ,0.00 ,1729.00 ,7.60 ,18,75.00 ,18.00 ,84.40 ,0.00 ,1750.00 ,54.1,59.70 ,0.00 ,90.2,79.4,93.8,83.7,91.70 ,68.20 ,D-16/12/90
34746.00 ,1,7.70 ,208,427,192.00 ,75.00 ,4.50 ,1426.00 ,7.70 ,195,236.00 ,74.60 ,7.00 ,1375.00 ,7.70 ,186,334.00 ,104.00 ,80.80 ,0.40 ,1518.00 ,7.40 ,27,78.00 ,33.00 ,84.80 ,0.00 ,1636.00 ,4.6,55.90 ,94.30 ,85.5,76.6,87,81.7,82.80 ,100.00 ,D-16/2/90
42911.00 ,0.7,7.60 ,114,252,116.00 ,58.60 ,1.20 ,1238.00 ,7.90 ,148,136.00 ,64.70 ,3.00 ,1208.00 ,7.70 ,79,216.00 ,70.00 ,82.90 ,0.30 ,1177.00 ,7.50 ,84,172.00 ,104.00 ,78.80 ,0.06 ,1221.00 ,46.6,48.50 ,91.70 ,0.00 ,20.4,26.3,31.7,10.30 ,95.40 ,D-16/3/90
34667.00 ,6,7.20 ,165,315,170.00 ,64.70 ,0.00 ,1125.00 ,7.30 ,219,180.00 ,67.80 ,0.00 ,1151.00 ,7.30 ,121,235.00 ,86.00 ,81.40 ,0.00 ,1204.00 ,7.40 ,11,53.00 ,19.00 ,73.70 ,0.00 ,1306.00 ,44.7,52.20 ,0.00 ,90.9,77.4,93.3,83.2,88.80 ,68.20 ,D-16/4/90
33090.00 ,0.4,7.90 ,205,453,198.00 ,70.70 ,5.00 ,1479.00 ,7.90 ,199,214.00 ,70.10 ,5.50 ,1530.00 ,7.90 ,130,301.00 ,92.00 ,76.10 ,0.30 ,1401.00 ,7.80 ,15,70.00 ,22.00 ,63.60 ,0.00 ,1233.00 ,34.7,57.00 ,94.50 ,88.5,76.7,92.7,84.5,88.90 ,100.00 ,D-16/4/91
37106.00 ,0.7,7.80 ,163,468,202.00 ,57.40 ,4.50 ,1525.00 ,8.00 ,319,292.00 ,58.90 ,7.00 ,1587.00 ,7.80 ,146,353.00 ,230.00 ,55.70 ,0.20 ,1328.00 ,7.70 ,14,100.00 ,19.00 ,86.80 ,0.00 ,1309.00 ,54.2,21.20 ,97.10 ,90.4,71.7,91.4,78.6,90.60 ,100.00 ,D-16/5/90
